target,prediction
75.78734588623047,80.0370864868164
22.511035919189453,7.38485860824585
-342.8740539550781,-348.0975646972656
317.9912109375,326.6864929199219
719.3801879882812,721.4510498046875
-504.9464416503906,-489.8829040527344
-452.29132080078125,-495.3028259277344
-688.8199462890625,-670.9131469726562
-689.4404907226562,-694.7908325195312
333.15411376953125,360.1470642089844
-235.96096801757812,-232.79803466796875
202.04881286621094,209.55865478515625
-99.24118041992188,-130.024658203125
-2.032353639602661,-18.198497772216797
-0.5938795208930969,-48.923362731933594
339.67572021484375,364.9434509277344
651.6287231445312,665.80810546875
484.0950012207031,499.8874816894531
-529.1162109375,-491.96148681640625
-845.5247802734375,-856.5988159179688
-1108.258056640625,-1066.930419921875
792.562744140625,789.11328125
97.69934844970703,76.11106872558594
132.1282501220703,146.65274047851562
-220.80712890625,-252.31271362304688
-1050.527099609375,-1038.9219970703125
-603.847412109375,-595.4548950195312
-132.71058654785156,-61.863075256347656
411.8739318847656,376.63287353515625
978.5776977539062,972.9530029296875
-8.49292278289795,-27.972164154052734
804.8250122070312,778.8392944335938
605.4398193359375,571.8701782226562
836.1629028320312,782.36328125
-985.869384765625,-895.1902465820312
923.0653686523438,699.320556640625
-788.3342895507812,-761.127685546875
868.5667114257812,996.223388671875
-450.40228271484375,-443.4021301269531
699.1369018554688,567.1762084960938
36.33778762817383,-1.9272468090057373
1039.2645263671875,1045.9625244140625
1042.787109375,1054.6080322265625
-475.41094970703125,-512.12939453125
-989.093994140625,-956.1827392578125
-549.4608764648438,-561.9888305664062
-410.753173828125,-393.73687744140625
-1061.6875,-1021.258056640625
-353.3265686035156,-347.6033630371094
-974.94775390625,-1007.4059448242188
-17.205812454223633,-57.98467254638672
-485.04119873046875,-684.047607421875
-322.88922119140625,-350.6224060058594
174.46792602539062,188.88043212890625
-576.859619140625,-577.654296875
54.61654281616211,67.29381561279297
804.6678466796875,746.4033813476562
-221.30979919433594,-236.12380981445312
-70.38845825195312,-109.70401000976562
1109.162841796875,1071.1148681640625
870.614990234375,976.4249267578125
-885.445068359375,-840.8927001953125
-189.154541015625,-135.7446746826172
-568.888671875,-562.693603515625
-65.6111068725586,-82.22746276855469
408.65252685546875,418.4787902832031
-839.834716796875,-805.5631713867188
1078.52490234375,1080.3416748046875
36.08475875854492,11.77910327911377
511.1927795410156,443.96026611328125
135.2949981689453,72.21836853027344
-1096.4873046875,-1080.091796875
-674.4904174804688,-662.948974609375
-986.6665649414062,-957.7347412109375
574.2572631835938,542.5504150390625
-441.9134826660156,-440.2293395996094
461.1234436035156,465.8843078613281
452.3214416503906,414.95330810546875
5.464547157287598,-27.307350158691406
215.716552734375,241.4578399658203
749.4522705078125,899.7227783203125
216.8600616455078,289.0145568847656
746.893310546875,703.9967041015625
138.641357421875,159.63720703125
1082.4853515625,1109.0985107421875
-999.1271362304688,-972.9656982421875
-461.1121520996094,-437.33966064453125
-702.9370727539062,-679.9844970703125
-912.176025390625,-932.4913940429688
136.8649444580078,181.20901489257812
-626.685791015625,-598.1478881835938
763.0001831054688,752.1473999023438
-457.03680419921875,-444.6582946777344
-727.3660278320312,-701.9385986328125
922.4179077148438,895.3525390625
157.33944702148438,155.82803344726562
-747.5468139648438,-698.466796875
980.0147705078125,1006.501953125
392.82208251953125,393.2940368652344
1010.2405395507812,579.46484375
255.00167846679688,286.4599914550781
-388.81292724609375,-369.7181091308594
-273.8326416015625,-280.6676330566406
-772.6295776367188,-795.7545166015625
-440.98724365234375,-508.0859680175781
-617.536376953125,-639.728515625
-599.7235107421875,-582.98583984375
641.1730346679688,566.110107421875
650.5389404296875,622.4117431640625
932.93212890625,932.64501953125
-1138.6534423828125,-1108.0301513671875
-83.09629821777344,-67.29174041748047
42.80118942260742,-36.94374465942383
352.75823974609375,348.0146789550781
666.3325805664062,627.7278442382812
-407.6745910644531,-362.7701110839844
983.0927734375,989.0177001953125
-988.03466796875,-977.8155517578125
969.2271728515625,838.3162231445312
637.7230834960938,629.29736328125
236.9964599609375,242.73379516601562
1022.801025390625,1009.9755249023438
-10.441656112670898,-32.43917465209961
-372.9296875,-361.90692138671875
505.8646545410156,480.53948974609375
573.9317626953125,533.3570556640625
67.39053344726562,-526.0657958984375
-884.4077758789062,-842.7846069335938
458.6773376464844,444.3521728515625
-877.806640625,-863.2423095703125
350.281005859375,374.6514892578125
-40.0678596496582,-71.29296112060547
138.748046875,121.27516174316406
433.8420715332031,428.7467956542969
-1058.3187255859375,-1048.5372314453125
-443.5392761230469,-416.78778076171875
1037.1976318359375,837.0010986328125
159.67845153808594,145.0594482421875
992.5557861328125,1004.3431396484375
836.3916015625,799.9337768554688
925.3572998046875,908.99853515625
399.33880615234375,439.4477844238281
336.6505432128906,356.0632629394531
611.7290649414062,497.14898681640625
574.0053100585938,571.9119873046875
633.1520385742188,634.6708984375
905.6303100585938,872.9537353515625
-254.75514221191406,-277.7418518066406
-348.5148620605469,-325.8084716796875
863.982666015625,875.7535400390625
-976.4283447265625,-926.1073608398438
313.9645080566406,367.5357360839844
468.2164611816406,419.0854797363281
352.2380065917969,298.4024658203125
684.3861083984375,678.2791137695312
420.3995666503906,408.3833312988281
232.11669921875,295.3615417480469
1061.3131103515625,1060.78515625
8.097816467285156,38.35604476928711
807.5244750976562,879.306884765625
-266.8813781738281,-257.4098205566406
46.32435989379883,21.32805824279785
117.82823181152344,142.42245483398438
879.6190795898438,865.8988037109375
339.134765625,372.979248046875
-111.6323013305664,-91.21402740478516
192.4674530029297,119.46631622314453
-1074.8126220703125,-1010.1451416015625
-771.901123046875,-828.0015258789062
34.80785369873047,86.56703186035156
-405.2788391113281,-400.4091491699219
695.8113403320312,703.59814453125
-676.34033203125,-658.24072265625
-796.2579345703125,-764.2177734375
732.0112915039062,689.465576171875
-903.9952392578125,-864.3746948242188
-1021.356689453125,-1001.8761596679688
-1106.844482421875,-1123.522216796875
-816.642578125,-788.2348022460938
370.0144348144531,336.5940856933594
-563.355224609375,-577.5294189453125
1139.1649169921875,1134.20556640625
-457.75408935546875,-460.5882873535156
-686.55126953125,-674.3008422851562
-628.3574829101562,-633.7913208007812
44.509368896484375,41.31721496582031
-807.8980712890625,-786.06298828125
-961.640380859375,-940.1016235351562
-991.0010986328125,-927.247314453125
-809.8862915039062,-812.7076416015625
1145.7303466796875,1083.088134765625
690.473876953125,679.8756713867188
-185.5104217529297,-180.4105224609375
579.4517822265625,545.6162719726562
-853.8923950195312,-824.0108032226562
-1025.4951171875,-994.71630859375
417.0704040527344,418.25909423828125
-772.6242065429688,-751.8215942382812
-649.0615844726562,-638.9286499023438
-754.5330810546875,-711.331787109375
-941.6968994140625,-962.6575927734375
-136.31605529785156,-147.44976806640625
380.35491943359375,373.0213928222656
1044.6986083984375,1043.889404296875
1105.3590087890625,1094.24951171875
-578.9766235351562,-672.03466796875
104.73291015625,84.61622619628906
-505.3179931640625,-467.1584167480469
1036.2791748046875,1021.349853515625
584.517333984375,572.7222290039062
678.5631713867188,627.4446411132812
903.5049438476562,902.9566650390625
862.6412963867188,862.1959228515625
-305.0875244140625,-300.2951354980469
-72.3480453491211,-87.70819854736328
117.17647552490234,158.54489135742188
291.92791748046875,287.1339416503906
-731.6294555664062,-727.0556640625
130.30409240722656,175.76800537109375
757.2946166992188,727.288330078125
397.7279357910156,490.0260314941406
774.6809692382812,757.8609619140625
375.42193603515625,369.6172790527344
-996.550537109375,-959.8449096679688
146.4442901611328,153.36199951171875
-667.403076171875,-656.1546630859375
612.9454956054688,615.3231201171875
794.3713989257812,739.6844482421875
-646.6953125,-616.1988525390625
992.1239624023438,967.0007934570312
128.97874450683594,-12.586981773376465
-190.35504150390625,-134.98321533203125
466.6668701171875,612.039306640625
940.227294921875,903.6860961914062
889.7136840820312,841.99755859375
-599.0576171875,-575.19580078125
-784.1294555664062,-769.3592529296875
-30.61359214782715,-24.691585540771484
743.2149658203125,735.1453247070312
639.8457641601562,518.9794311523438
900.4556884765625,908.2391357421875
-923.2456665039062,-903.37451171875
-671.9056396484375,-643.72900390625
629.3776245117188,629.8648071289062
1011.4852905273438,1043.0328369140625
-308.7270202636719,-281.6480712890625
-410.3335266113281,-392.8912658691406
-1105.2359619140625,-1094.291748046875
-273.92803955078125,-308.2789611816406
-96.03510284423828,-130.1753387451172
141.27279663085938,120.3267593383789
0.01079658791422844,6.164439678192139
704.8569946289062,727.3988037109375
-621.3995361328125,-635.9352416992188
1049.5455322265625,1054.2198486328125
778.3862915039062,754.7783203125
83.48959350585938,57.43058395385742
520.6997680664062,505.6783142089844
203.15257263183594,125.62162017822266
864.02001953125,886.35400390625
-676.24365234375,-796.0050659179688
865.2069702148438,872.315673828125
-104.51080322265625,-132.56495666503906
-3.122680187225342,-10.69748592376709
-1122.6280517578125,-1132.5701904296875
-154.16416931152344,-140.22549438476562
772.581787109375,776.5971069335938
331.5626525878906,378.3186340332031
333.72760009765625,330.2260437011719
1043.2493896484375,1066.5135498046875
340.561279296875,307.0049133300781
528.1893920898438,382.0710754394531
-324.300537109375,-337.8888854980469
-1050.161376953125,-1028.5455322265625
-1065.708984375,-1045.12109375
-878.0292358398438,-848.8657836914062
-536.0904541015625,-543.5181274414062
